25, HypersphericalAngular, logitnormal_rho5e-1_scaleunit_100dims
25, Stickbreaking, logitnormal_rho5e-1_scaleunit_100dims
25, HypersphericalProbit, logitnormal_rho5e-1_scaleunit_100dims
25, StanStickbreaking, logitnormal_rho5e-1_scaleunit_100dims
25, AugmentedILR, logitnormal_rho5e-1_scaleunit_100dims
25, AugmentedSoftmax, logitnormal_rho5e-1_scaleunit_100dims
25, HypersphericalLogit, dirsym_e-1_1000dims
25, NormalizedExponential, dirsym_e-1_1000dims
25, ALR, dirsym_e-1_1000dims
1, ProbitProduct, dirsym_e-1_1000dims
1, HypersphericalAngular, dirsym_e-1_1000dims
25, Stickbreaking, dirsym_e-1_1000dims
25, HypersphericalProbit, dirsym_e-1_1000dims
25, StanStickbreaking, dirsym_e-1_1000dims
25, AugmentedILR, dirsym_e-1_1000dims
25, AugmentedSoftmax, dirsym_e-1_1000dims
25, HypersphericalLogit, asymdir_e-1to10_1000dims
25, NormalizedExponential, asymdir_e-1to10_1000dims
25, ALR, asymdir_e-1to10_1000dims
1, ProbitProduct, asymdir_e-1to10_1000dims
1, HypersphericalAngular, asymdir_e-1to10_1000dims
25, Stickbreaking, asymdir_e-1to10_1000dims
25, HypersphericalProbit, asymdir_e-1to10_1000dims
25, StanStickbreaking, asymdir_e-1to10_1000dims
25, AugmentedILR, asymdir_e-1to10_1000dims
25, AugmentedSoftmax, asymdir_e-1to10_1000dims
25, HypersphericalLogit, asymdir_1rand10_10dims
26, NormalizedExponential, asymdir_1rand10_10dims
26, ALR, asymdir_1rand10_10dims
25, ProbitProduct, asymdir_1rand10_10dims
25, HypersphericalAngular, asymdir_1rand10_10dims
25, Stickbreaking, asymdir_1rand10_10dims
25, HypersphericalProbit, asymdir_1rand10_10dims
25, StanStickbreaking, asymdir_1rand10_10dims
25, AugmentedILR, asymdir_1rand10_10dims
25, AugmentedSoftmax, asymdir_1rand10_10dims
25, HypersphericalLogit, logitnormal_rho5e-1_scalevar_100dims
25, NormalizedExponential, logitnormal_rho5e-1_scalevar_100dims
25, ALR, logitnormal_rho5e-1_scalevar_100dims
25, ProbitProduct, logitnormal_rho5e-1_scalevar_100dims
19, HypersphericalAngular, logitnormal_rho5e-1_scalevar_100dims
27, Stickbreaking, logitnormal_rho5e-1_scalevar_100dims
26, HypersphericalProbit, logitnormal_rho5e-1_scalevar_100dims
25, StanStickbreaking, logitnormal_rho5e-1_scalevar_100dims
25, AugmentedILR, logitnormal_rho5e-1_scalevar_100dims
25, AugmentedSoftmax, logitnormal_rho5e-1_scalevar_100dims
25, HypersphericalLogit, asymdir_e-1rand10_100dims
25, NormalizedExponential, asymdir_e-1rand10_100dims
25, ALR, asymdir_e-1rand10_100dims
25, ProbitProduct, asymdir_e-1rand10_100dims
25, HypersphericalAngular, asymdir_e-1rand10_100dims
25, Stickbreaking, asymdir_e-1rand10_100dims
25, HypersphericalProbit, asymdir_e-1rand10_100dims
25, StanStickbreaking, asymdir_e-1rand10_100dims
25, AugmentedILR, asymdir_e-1rand10_100dims
25, AugmentedSoftmax, asymdir_e-1rand10_100dims
25, HypersphericalLogit, logitnormal_rho5e-1_scaleunit_10dims
25, NormalizedExponential, logitnormal_rho5e-1_scaleunit_10dims
25, ALR, logitnormal_rho5e-1_scaleunit_10dims
25, ProbitProduct, logitnormal_rho5e-1_scaleunit_10dims
25, HypersphericalAngular, logitnormal_rho5e-1_scaleunit_10dims
25, Stickbreaking, logitnormal_rho5e-1_scaleunit_10dims
25, HypersphericalProbit, logitnormal_rho5e-1_scaleunit_10dims
25, StanStickbreaking, logitnormal_rho5e-1_scaleunit_10dims
29, AugmentedILR, logitnormal_rho5e-1_scaleunit_10dims
25, AugmentedSoftmax, logitnormal_rho5e-1_scaleunit_10dims
26, HypersphericalLogit, logitnormal_rho95e-2_scalevar_100dims
25, NormalizedExponential, logitnormal_rho95e-2_scalevar_100dims
25, ALR, logitnormal_rho95e-2_scalevar_100dims
26, ProbitProduct, logitnormal_rho95e-2_scalevar_100dims
19, HypersphericalAngular, logitnormal_rho95e-2_scalevar_100dims
25, Stickbreaking, logitnormal_rho95e-2_scalevar_100dims
25, HypersphericalProbit, logitnormal_rho95e-2_scalevar_100dims
25, StanStickbreaking, logitnormal_rho95e-2_scalevar_100dims
25, AugmentedILR, logitnormal_rho95e-2_scalevar_100dims
25, AugmentedSoftmax, logitnormal_rho95e-2_scalevar_100dims
25, HypersphericalLogit, asymdir_e-1to10_100dims
25, NormalizedExponential, asymdir_e-1to10_100dims
25, ALR, asymdir_e-1to10_100dims
25, ProbitProduct, asymdir_e-1to10_100dims
25, HypersphericalAngular, asymdir_e-1to10_100dims
25, Stickbreaking, asymdir_e-1to10_100dims
25, HypersphericalProbit, asymdir_e-1to10_100dims
25, StanStickbreaking, asymdir_e-1to10_100dims
25, AugmentedILR, asymdir_e-1to10_100dims
25, AugmentedSoftmax, asymdir_e-1to10_100dims
50, HypersphericalLogit, dirsym_10_10dims
