,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
y[72],0.0,0.324,-0.614,0.597,0.0,0.001,712070.0,275630.0,1.0
y[73],0.001,0.324,-0.609,0.597,0.0,0.001,717789.0,276249.0,1.0
y[74],0.0,0.324,-0.611,0.6,0.0,0.001,712437.0,275558.0,1.0
y[75],0.001,0.325,-0.614,0.598,0.0,0.001,699476.0,273082.0,1.0
y[76],0.0,0.324,-0.618,0.593,0.0,0.001,703022.0,273773.0,1.0
y[77],-0.0,0.324,-0.616,0.593,0.0,0.001,713305.0,274238.0,1.0
y[78],-0.0,0.324,-0.616,0.596,0.0,0.001,701506.0,279712.0,1.0
y[79],-0.0,0.325,-0.605,0.609,0.0,0.001,717094.0,276441.0,1.0
y[80],-0.001,0.325,-0.618,0.594,0.0,0.001,703454.0,272253.0,1.0
y[81],0.001,0.323,-0.623,0.588,0.0,0.001,697264.0,275477.0,1.0
y[82],0.0,0.324,-0.616,0.594,0.0,0.001,710803.0,275960.0,1.0
y[83],0.0,0.324,-0.606,0.606,0.0,0.001,711615.0,278665.0,1.0
y[84],0.0,0.325,-0.614,0.599,0.0,0.001,700998.0,270797.0,1.0
y[85],0.001,0.325,-0.612,0.602,0.0,0.001,712797.0,270993.0,1.0
y[86],0.0,0.324,-0.614,0.598,0.0,0.001,706053.0,275737.0,1.0
y[87],0.001,0.324,-0.616,0.593,0.0,0.001,698777.0,277137.0,1.0
y[88],-0.001,0.326,-0.618,0.597,0.0,0.001,705581.0,275451.0,1.0
y[89],0.0,0.324,-0.613,0.601,0.0,0.001,696099.0,277902.0,1.0
y[90],-0.0,0.324,-0.617,0.594,0.0,0.001,699657.0,275908.0,1.0
y[91],0.0,0.324,-0.615,0.597,0.0,0.001,701438.0,272278.0,1.0
y[92],-0.0,0.324,-0.615,0.594,0.0,0.001,701757.0,274670.0,1.0
y[93],-0.0,0.325,-0.619,0.598,0.0,0.001,699290.0,269161.0,1.0
y[94],0.0,0.323,-0.615,0.591,0.0,0.001,702885.0,278662.0,1.0
y[95],-0.0,0.324,-0.612,0.598,0.0,0.001,718757.0,279953.0,1.0
y[96],-0.0,0.324,-0.616,0.593,0.0,0.001,708260.0,273904.0,1.0
y[97],0.001,0.324,-0.61,0.597,0.0,0.001,720136.0,278142.0,1.0
y[98],0.0,0.325,-0.616,0.599,0.0,0.001,717371.0,274663.0,1.0
z[0],0.01,0.01,0.0,0.028,0.0,0.0,493811.0,211800.0,1.0
z[1],0.01,0.01,0.0,0.028,0.0,0.0,492011.0,212055.0,1.0
z[2],0.01,0.01,0.0,0.028,0.0,0.0,493976.0,215601.0,1.0
z[3],0.01,0.01,0.0,0.028,0.0,0.0,492794.0,212259.0,1.0
z[4],0.01,0.01,0.0,0.028,0.0,0.0,490374.0,206128.0,1.0
z[5],0.01,0.01,0.0,0.028,0.0,0.0,495687.0,216494.0,1.0
z[6],0.01,0.01,0.0,0.028,0.0,0.0,489770.0,214460.0,1.0
z[7],0.01,0.01,0.0,0.028,0.0,0.0,499062.0,213627.0,1.0
z[8],0.01,0.01,0.0,0.028,0.0,0.0,486704.0,208832.0,1.0
z[9],0.01,0.01,0.0,0.028,0.0,0.0,489525.0,211754.0,1.0
z[10],0.01,0.01,0.0,0.028,0.0,0.0,494292.0,209536.0,1.0
z[11],0.01,0.01,0.0,0.028,0.0,0.0,496514.0,213243.0,1.0
z[12],0.01,0.01,0.0,0.028,0.0,0.0,487124.0,210317.0,1.0
z[13],0.01,0.01,0.0,0.028,0.0,0.0,489280.0,212279.0,1.0
z[14],0.01,0.01,0.0,0.028,0.0,0.0,493755.0,215740.0,1.0
z[15],0.01,0.01,0.0,0.028,0.0,0.0,497014.0,214276.0,1.0
z[16],0.01,0.01,0.0,0.028,0.0,0.0,490149.0,209236.0,1.0
z[17],0.01,0.01,0.0,0.028,0.0,0.0,495191.0,213129.0,1.0
z[18],0.01,0.01,0.0,0.028,0.0,0.0,494114.0,208667.0,1.0
z[19],0.01,0.01,0.0,0.028,0.0,0.0,491403.0,213181.0,1.0
z[20],0.01,0.01,0.0,0.028,0.0,0.0,488292.0,212610.0,1.0
z[21],0.01,0.01,0.0,0.028,0.0,0.0,506142.0,216611.0,1.0
z[22],0.01,0.01,0.0,0.028,0.0,0.0,493752.0,213808.0,1.0
z[23],0.01,0.01,0.0,0.028,0.0,0.0,486471.0,208662.0,1.0
z[24],0.01,0.01,0.0,0.028,0.0,0.0,492012.0,210160.0,1.0
z[25],0.01,0.01,0.0,0.028,0.0,0.0,494489.0,212656.0,1.0
z[26],0.01,0.01,0.0,0.028,0.0,0.0,501297.0,216446.0,1.0
z[27],0.01,0.01,0.0,0.028,0.0,0.0,481248.0,210828.0,1.0
z[28],0.01,0.01,0.0,0.028,0.0,0.0,488698.0,210600.0,1.0
z[29],0.01,0.01,0.0,0.028,0.0,0.0,483281.0,211434.0,1.0
z[30],0.01,0.01,0.0,0.028,0.0,0.0,497660.0,212722.0,1.0
z[31],0.01,0.01,0.0,0.028,0.0,0.0,488935.0,207682.0,1.0
z[32],0.01,0.01,0.0,0.028,0.0,0.0,498564.0,214157.0,1.0
z[33],0.01,0.01,0.0,0.028,0.0,0.0,492254.0,211089.0,1.0
z[34],0.01,0.01,0.0,0.028,0.0,0.0,504375.0,216742.0,1.0
z[35],0.01,0.01,0.0,0.028,0.0,0.0,488228.0,207325.0,1.0
z[36],0.01,0.01,0.0,0.028,0.0,0.0,492340.0,211261.0,1.0
z[37],0.01,0.01,0.0,0.028,0.0,0.0,496667.0,215016.0,1.0
z[38],0.01,0.01,0.0,0.028,0.0,0.0,500396.0,215404.0,1.0
z[39],0.01,0.01,0.0,0.028,0.0,0.0,492543.0,210562.0,1.0
z[40],0.01,0.01,0.0,0.028,0.0,0.0,490881.0,210647.0,1.0
z[41],0.01,0.01,0.0,0.028,0.0,0.0,498341.0,214395.0,1.0
z[42],0.01,0.01,0.0,0.028,0.0,0.0,485624.0,206298.0,1.0
z[43],0.01,0.01,0.0,0.028,0.0,0.0,486989.0,209041.0,1.0
z[44],0.01,0.01,0.0,0.028,0.0,0.0,489086.0,210320.0,1.0
z[45],0.01,0.01,0.0,0.028,0.0,0.0,501078.0,213612.0,1.0
z[46],0.01,0.01,0.0,0.028,0.0,0.0,502235.0,216600.0,1.0
z[47],0.01,0.01,0.0,0.028,0.0,0.0,487980.0,210757.0,1.0
z[48],0.01,0.01,0.0,0.028,0.0,0.0,490178.0,210720.0,1.0
z[49],0.01,0.01,0.0,0.028,0.0,0.0,490390.0,211435.0,1.0
z[50],0.01,0.01,0.0,0.028,0.0,0.0,491376.0,212088.0,1.0
z[51],0.01,0.01,0.0,0.028,0.0,0.0,502940.0,214273.0,1.0
z[52],0.01,0.01,0.0,0.028,0.0,0.0,487951.0,213816.0,1.0
z[53],0.01,0.01,0.0,0.028,0.0,0.0,490247.0,213249.0,1.0
z[54],0.01,0.01,0.0,0.028,0.0,0.0,487062.0,207359.0,1.0
