,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
y[0],-0.051,0.326,-0.661,0.56,0.0,0.001,601018.0,269455.0,1.0
y[1],-0.051,0.327,-0.666,0.555,0.0,0.001,596841.0,274607.0,1.0
y[2],-0.051,0.326,-0.67,0.549,0.0,0.001,600509.0,270856.0,1.0
y[3],-0.051,0.326,-0.662,0.556,0.0,0.001,600958.0,277760.0,1.0
y[4],-0.05,0.326,-0.661,0.554,0.0,0.001,600770.0,274933.0,1.0
y[5],-0.05,0.327,-0.671,0.549,0.0,0.001,591776.0,272495.0,1.0
y[6],-0.05,0.326,-0.673,0.544,0.0,0.001,598918.0,272317.0,1.0
y[7],-0.05,0.326,-0.665,0.551,0.0,0.001,605422.0,275228.0,1.0
y[8],-0.051,0.327,-0.666,0.556,0.0,0.001,603737.0,272063.0,1.0
y[9],-0.05,0.325,-0.663,0.552,0.0,0.001,604855.0,274420.0,1.0
y[10],-0.051,0.326,-0.667,0.551,0.0,0.001,592411.0,275156.0,1.0
y[11],-0.05,0.327,-0.676,0.543,0.0,0.001,600726.0,272480.0,1.0
y[12],-0.05,0.325,-0.667,0.545,0.0,0.001,599229.0,273543.0,1.0
y[13],-0.05,0.326,-0.677,0.543,0.0,0.001,601944.0,275609.0,1.0
y[14],-0.051,0.326,-0.662,0.558,0.0,0.001,607463.0,279488.0,1.0
y[15],-0.051,0.327,-0.671,0.55,0.0,0.001,595257.0,270752.0,1.0
y[16],-0.05,0.326,-0.672,0.547,0.0,0.001,600465.0,274176.0,1.0
y[17],-0.051,0.327,-0.665,0.557,0.0,0.001,605265.0,276524.0,1.0
y[18],-0.05,0.325,-0.658,0.557,0.0,0.001,599590.0,281413.0,1.0
y[19],-0.05,0.326,-0.669,0.544,0.0,0.001,593758.0,271080.0,1.0
y[20],-0.051,0.326,-0.669,0.548,0.0,0.001,592078.0,272139.0,1.0
y[21],-0.051,0.326,-0.676,0.544,0.0,0.001,594705.0,273837.0,1.0
y[22],-0.05,0.326,-0.671,0.547,0.0,0.001,606808.0,273492.0,1.0
y[23],-0.05,0.327,-0.663,0.558,0.0,0.001,591782.0,272622.0,1.0
y[24],-0.05,0.326,-0.674,0.542,0.0,0.001,599788.0,276633.0,1.0
y[25],-0.05,0.327,-0.668,0.552,0.0,0.001,598423.0,275462.0,1.0
y[26],-0.05,0.326,-0.662,0.559,0.0,0.001,603434.0,277134.0,1.0
y[27],-0.049,0.326,-0.665,0.556,0.0,0.001,603094.0,271420.0,1.0
y[28],-0.05,0.327,-0.672,0.549,0.0,0.001,606965.0,275410.0,1.0
y[29],-0.05,0.326,-0.669,0.549,0.0,0.001,595118.0,272522.0,1.0
y[30],-0.05,0.325,-0.661,0.553,0.0,0.001,603452.0,280198.0,1.0
y[31],-0.05,0.326,-0.672,0.545,0.0,0.001,590081.0,275981.0,1.0
y[32],-0.05,0.327,-0.668,0.553,0.0,0.001,593490.0,272790.0,1.0
y[33],-0.05,0.327,-0.673,0.549,0.0,0.001,602568.0,270638.0,1.0
y[34],-0.051,0.327,-0.668,0.553,0.0,0.001,590353.0,266323.0,1.0
y[35],-0.05,0.326,-0.662,0.557,0.0,0.001,609912.0,273642.0,1.0
y[36],-0.05,0.327,-0.666,0.554,0.0,0.001,606172.0,274190.0,1.0
y[37],-0.05,0.327,-0.674,0.547,0.0,0.001,593945.0,273853.0,1.0
y[38],-0.05,0.328,-0.681,0.545,0.0,0.001,605297.0,274147.0,1.0
y[39],-0.051,0.327,-0.664,0.554,0.0,0.001,608851.0,277021.0,1.0
y[40],-0.05,0.328,-0.674,0.551,0.0,0.001,607202.0,274395.0,1.0
y[41],-0.051,0.327,-0.673,0.546,0.0,0.001,596293.0,273767.0,1.0
y[42],-0.05,0.327,-0.667,0.554,0.0,0.001,602707.0,282630.0,1.0
y[43],-0.049,0.327,-0.677,0.545,0.0,0.001,596716.0,273366.0,1.0
y[44],-0.05,0.327,-0.666,0.554,0.0,0.001,601348.0,272021.0,1.0
y[45],-0.05,0.327,-0.665,0.551,0.0,0.001,604585.0,278539.0,1.0
y[46],-0.05,0.326,-0.67,0.548,0.0,0.001,604404.0,274916.0,1.0
y[47],-0.049,0.326,-0.673,0.545,0.0,0.001,597272.0,275343.0,1.0
y[48],-0.049,0.327,-0.668,0.555,0.0,0.001,597293.0,274084.0,1.0
y[49],-0.05,0.327,-0.675,0.548,0.0,0.001,602922.0,273706.0,1.0
y[50],-0.05,0.329,-0.677,0.552,0.0,0.001,597899.0,267101.0,1.0
y[51],-0.051,0.328,-0.667,0.559,0.0,0.001,604228.0,275355.0,1.0
y[52],-0.049,0.328,-0.674,0.553,0.0,0.001,601656.0,272158.0,1.0
y[53],-0.05,0.327,-0.671,0.551,0.0,0.001,599913.0,275143.0,1.0
y[54],-0.05,0.327,-0.675,0.546,0.0,0.001,608426.0,272571.0,1.0
y[55],-0.05,0.328,-0.671,0.555,0.0,0.001,602261.0,274483.0,1.0
y[56],-0.049,0.327,-0.662,0.557,0.0,0.001,607217.0,275643.0,1.0
y[57],-0.05,0.329,-0.678,0.551,0.0,0.001,597680.0,272863.0,1.0
y[58],-0.05,0.329,-0.67,0.558,0.0,0.001,601062.0,268341.0,1.0
y[59],-0.05,0.33,-0.674,0.556,0.0,0.001,606723.0,272660.0,1.0
y[60],-0.049,0.328,-0.673,0.553,0.0,0.001,605741.0,275923.0,1.0
y[61],-0.049,0.328,-0.675,0.549,0.0,0.001,605735.0,276886.0,1.0
