,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
x[74],0.001,0.0,0.0,0.002,0.0,0.0,18180.0,8406.0,1.0
x[75],0.001,0.0,0.0,0.002,0.0,0.0,15832.0,8287.0,1.0
x[76],0.001,0.0,0.0,0.002,0.0,0.0,16252.0,7373.0,1.0
x[77],0.001,0.0,0.0,0.002,0.0,0.0,18019.0,8387.0,1.0
x[78],0.001,0.0,0.0,0.002,0.0,0.0,17603.0,7889.0,1.0
x[79],0.001,0.0,0.0,0.002,0.0,0.0,17771.0,8142.0,1.0
x[80],0.001,0.0,0.0,0.002,0.0,0.0,15389.0,7974.0,1.0
x[81],0.001,0.0,0.0,0.002,0.0,0.0,16643.0,7493.0,1.0
x[82],0.001,0.0,0.0,0.002,0.0,0.0,17410.0,7854.0,1.0
x[83],0.001,0.0,0.0,0.002,0.0,0.0,17880.0,8819.0,1.0
x[84],0.001,0.0,0.0,0.002,0.0,0.0,14815.0,7757.0,1.0
x[85],0.001,0.0,0.0,0.002,0.0,0.0,13942.0,7940.0,1.0
x[86],0.001,0.0,0.0,0.002,0.0,0.0,16407.0,7463.0,1.0
x[87],0.001,0.0,0.0,0.002,0.0,0.0,16528.0,8175.0,1.0
x[88],0.001,0.0,0.0,0.002,0.0,0.0,17639.0,8923.0,1.0
x[89],0.001,0.0,0.0,0.002,0.0,0.0,16558.0,7027.0,1.0
x[90],0.001,0.0,0.0,0.002,0.0,0.0,15709.0,6996.0,1.0
x[91],0.001,0.0,0.0,0.002,0.0,0.0,17633.0,7362.0,1.0
x[92],0.001,0.0,0.0,0.002,0.0,0.0,16091.0,7150.0,1.0
x[93],0.001,0.0,0.0,0.002,0.0,0.0,16123.0,8416.0,1.0
x[94],0.001,0.0,0.0,0.002,0.0,0.0,14350.0,7720.0,1.0
x[95],0.001,0.0,0.0,0.002,0.0,0.0,15325.0,7046.0,1.0
x[96],0.001,0.0,0.0,0.002,0.0,0.0,17192.0,7455.0,1.0
x[97],0.001,0.0,0.0,0.002,0.0,0.0,16198.0,7502.0,1.0
x[98],0.001,0.0,0.0,0.002,0.0,0.0,16543.0,8392.0,1.0
x[99],0.001,0.0,0.0,0.002,0.0,0.0,16161.0,7467.0,1.0
x[100],0.001,0.0,0.0,0.002,0.0,0.0,16720.0,8348.0,1.0
x[101],0.001,0.0,0.0,0.002,0.0,0.0,16710.0,8307.0,1.0
x[102],0.001,0.0,0.0,0.002,0.0,0.0,17922.0,9066.0,1.0
x[103],0.001,0.0,0.0,0.002,0.0,0.0,15529.0,8103.0,1.0
x[104],0.001,0.0,0.0,0.002,0.0,0.0,17625.0,8127.0,1.0
x[105],0.001,0.0,0.0,0.002,0.0,0.0,16291.0,9122.0,1.0
x[106],0.001,0.0,0.0,0.002,0.0,0.0,15939.0,8703.0,1.0
x[107],0.001,0.0,0.0,0.002,0.0,0.0,15167.0,7463.0,1.0
