,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
y[0],83.702,206.196,-1.846,718.229,10.267,7.265,409.0,422.0,8.88
y[1],75.793,193.238,-0.735,717.511,9.621,6.809,409.0,430.0,8.32
y[2],104.895,231.309,-0.832,722.526,11.518,8.151,409.0,428.0,8.92
y[3],113.381,240.005,-3.497,718.506,11.948,8.455,408.0,433.0,9.46
y[4],89.799,212.752,-5.134,715.467,10.593,7.497,408.0,431.0,9.36
y[5],85.287,205.327,-4.243,715.106,10.223,7.235,408.0,418.0,9.8
y[6],88.981,209.729,-3.318,716.805,10.441,7.388,408.0,432.0,9.55
y[7],95.462,221.934,-2.769,718.718,11.05,7.82,407.0,439.0,10.24
y[8],78.563,197.996,-3.574,715.609,9.86,6.977,411.0,426.0,7.57
y[9],70.573,182.865,-5.912,711.361,9.102,6.443,409.0,413.0,8.63
logr,716.175,7.101,703.529,729.961,0.35,0.248,412.0,459.0,7.03
x[0],0.095,0.293,0.0,1.0,0.015,0.01,419.0,534.0,5.19
x[1],0.08,0.271,0.0,1.0,0.014,0.01,415.0,516.0,5.99
x[2],0.123,0.328,0.0,1.0,0.016,0.012,413.0,497.0,6.48
x[3],0.135,0.342,0.0,1.0,0.017,0.012,415.0,518.0,6.11
x[4],0.102,0.303,0.0,1.0,0.015,0.011,415.0,507.0,6.13
x[5],0.095,0.293,0.0,1.0,0.015,0.01,414.0,510.0,6.2
x[6],0.097,0.296,0.0,1.0,0.015,0.01,416.0,512.0,5.8
x[7],0.112,0.315,0.0,1.0,0.016,0.011,417.0,512.0,5.7
x[8],0.088,0.283,0.0,1.0,0.014,0.01,415.0,505.0,6.06
x[9],0.072,0.259,0.0,1.0,0.013,0.009,417.0,516.0,5.67
