,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
y[0],-0.003,1.811,-3.479,3.468,0.002,0.004,804205.0,244606.0,1.0
y[1],0.0,1.814,-3.523,3.432,0.002,0.004,816253.0,248420.0,1.0
y[2],-0.004,1.815,-3.488,3.469,0.002,0.004,820731.0,253178.0,1.0
y[3],0.003,1.817,-3.464,3.504,0.002,0.004,809120.0,249142.0,1.0
y[4],0.0,1.813,-3.467,3.489,0.002,0.004,800487.0,245126.0,1.0
y[5],-0.002,1.811,-3.45,3.5,0.002,0.004,813200.0,247323.0,1.0
y[6],-0.001,1.82,-3.457,3.529,0.002,0.004,817250.0,244544.0,1.0
y[7],0.001,1.816,-3.537,3.455,0.002,0.004,797832.0,247476.0,1.0
y[8],-0.002,1.82,-3.506,3.477,0.002,0.004,825983.0,247454.0,1.0
y[9],-0.005,1.82,-3.482,3.499,0.002,0.004,816436.0,242649.0,1.0
y[10],0.0,1.813,-3.468,3.477,0.002,0.004,810553.0,247727.0,1.0
y[11],0.002,1.819,-3.526,3.458,0.002,0.004,806030.0,245231.0,1.0
y[12],0.002,1.809,-3.42,3.502,0.002,0.004,810333.0,249467.0,1.0
y[13],0.0,1.806,-3.493,3.428,0.002,0.004,810164.0,243858.0,1.0
y[14],-0.002,1.816,-3.445,3.488,0.002,0.004,824296.0,251497.0,1.0
y[15],0.001,1.806,-3.483,3.443,0.002,0.004,806988.0,246383.0,1.0
y[16],-0.0,1.811,-3.464,3.484,0.002,0.004,811918.0,249970.0,1.0
y[17],0.002,1.814,-3.468,3.466,0.002,0.004,811842.0,245845.0,1.0
y[18],0.001,1.822,-3.451,3.541,0.002,0.004,807017.0,243964.0,1.0
y[19],0.001,1.819,-3.521,3.439,0.002,0.004,827256.0,249202.0,1.0
y[20],-0.0,1.811,-3.5,3.432,0.002,0.004,811290.0,247897.0,1.0
y[21],-0.003,1.822,-3.533,3.451,0.002,0.004,811228.0,247443.0,1.0
y[22],-0.002,1.817,-3.535,3.449,0.002,0.004,815163.0,247024.0,1.0
y[23],-0.001,1.824,-3.461,3.537,0.002,0.004,812638.0,244774.0,1.0
y[24],-0.001,1.821,-3.531,3.454,0.002,0.004,813202.0,244533.0,1.0
y[25],-0.001,1.814,-3.552,3.425,0.002,0.004,804814.0,245598.0,1.0
y[26],-0.0,1.819,-3.459,3.516,0.002,0.004,813273.0,244614.0,1.0
y[27],0.0,1.814,-3.522,3.448,0.002,0.004,812098.0,245810.0,1.0
y[28],0.001,1.812,-3.509,3.42,0.002,0.004,817687.0,252460.0,1.0
y[29],0.002,1.821,-3.424,3.545,0.002,0.004,821372.0,241905.0,1.0
y[30],0.001,1.817,-3.438,3.536,0.002,0.004,830941.0,245249.0,1.0
y[31],-0.001,1.815,-3.482,3.476,0.002,0.004,825182.0,253310.0,1.0
y[32],-0.0,1.815,-3.461,3.489,0.002,0.004,802829.0,249510.0,1.0
y[33],-0.001,1.809,-3.442,3.501,0.002,0.004,824088.0,248329.0,1.0
y[34],-0.001,1.815,-3.44,3.511,0.002,0.004,813679.0,249294.0,1.0
y[35],-0.004,1.809,-3.517,3.419,0.002,0.004,812835.0,249882.0,1.0
y[36],-0.001,1.818,-3.512,3.439,0.002,0.004,809923.0,247539.0,1.0
y[37],-0.003,1.805,-3.515,3.426,0.002,0.004,815255.0,250776.0,1.0
y[38],-0.002,1.81,-3.459,3.484,0.002,0.004,819268.0,249441.0,1.0
y[39],-0.002,1.811,-3.419,3.511,0.002,0.004,806164.0,246951.0,1.0
y[40],0.002,1.814,-3.463,3.482,0.002,0.004,817205.0,245351.0,1.0
y[41],-0.001,1.813,-3.474,3.463,0.002,0.004,817175.0,251064.0,1.0
y[42],0.0,1.821,-3.447,3.535,0.002,0.004,823659.0,247919.0,1.0
y[43],0.0,1.82,-3.479,3.49,0.002,0.004,827201.0,246669.0,1.0
y[44],-0.002,1.815,-3.46,3.486,0.002,0.004,818176.0,250575.0,1.0
y[45],-0.002,1.815,-3.458,3.484,0.002,0.004,818501.0,247996.0,1.0
y[46],-0.004,1.809,-3.452,3.478,0.002,0.004,812155.0,249750.0,1.0
y[47],0.0,1.813,-3.516,3.426,0.002,0.004,819829.0,250334.0,1.0
y[48],0.0,1.821,-3.529,3.448,0.002,0.004,806240.0,248725.0,1.0
y[49],-0.003,1.821,-3.51,3.458,0.002,0.004,813501.0,245567.0,1.0
y[50],0.003,1.805,-3.447,3.461,0.002,0.004,791836.0,250865.0,1.0
y[51],-0.002,1.814,-3.425,3.534,0.002,0.004,793364.0,246297.0,1.0
y[52],-0.0,1.813,-3.423,3.516,0.002,0.004,816666.0,246864.0,1.0
y[53],0.002,1.818,-3.455,3.527,0.002,0.004,808905.0,247144.0,1.0
y[54],-0.001,1.809,-3.523,3.414,0.002,0.004,809565.0,247786.0,1.0
y[55],0.001,1.816,-3.474,3.479,0.002,0.004,817662.0,251595.0,1.0
y[56],0.002,1.813,-3.511,3.432,0.002,0.004,823976.0,248306.0,1.0
y[57],0.001,1.815,-3.496,3.462,0.002,0.004,818639.0,250273.0,1.0
y[58],-0.001,1.81,-3.445,3.484,0.002,0.004,803532.0,246970.0,1.0
y[59],-0.003,1.82,-3.524,3.448,0.002,0.004,802111.0,243368.0,1.0
y[60],0.001,1.809,-3.496,3.432,0.002,0.004,818728.0,248972.0,1.0
y[61],0.001,1.814,-3.474,3.463,0.002,0.004,809458.0,249590.0,1.0
y[62],-0.0,1.817,-3.514,3.451,0.002,0.004,824840.0,247047.0,1.0
