,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
phi[0],1.252,0.05,1.159,1.346,0.0,0.0,756259.0,291162.0,1.0
phi[1],1.234,0.052,1.137,1.333,0.0,0.0,748783.0,299644.0,1.0
phi[2],1.213,0.056,1.108,1.317,0.0,0.0,744120.0,299649.0,1.0
phi[3],1.187,0.059,1.075,1.298,0.0,0.0,750430.0,301601.0,1.0
phi[4],1.154,0.064,1.031,1.272,0.0,0.0,772342.0,300051.0,1.0
phi[5],1.111,0.071,0.978,1.243,0.0,0.0,757196.0,304712.0,1.0
phi[6],1.051,0.079,0.9,1.197,0.0,0.0,761878.0,302674.0,1.0
phi[7],0.958,0.091,0.785,1.127,0.0,0.0,778836.0,308391.0,1.0
phi[8],0.785,0.112,0.572,0.993,0.0,0.0,778745.0,307440.0,1.0
x[0],0.1,0.03,0.046,0.156,0.0,0.0,756260.0,291179.0,1.0
x[1],0.1,0.03,0.047,0.157,0.0,0.0,747406.0,298836.0,1.0
x[2],0.1,0.03,0.047,0.157,0.0,0.0,743420.0,301205.0,1.0
x[3],0.1,0.03,0.046,0.156,0.0,0.0,745816.0,302031.0,1.0
x[4],0.1,0.03,0.047,0.157,0.0,0.0,766717.0,303555.0,1.0
x[5],0.1,0.03,0.046,0.156,0.0,0.0,753745.0,307251.0,1.0
x[6],0.1,0.03,0.047,0.157,0.0,0.0,750897.0,301850.0,1.0
x[7],0.1,0.03,0.046,0.156,0.0,0.0,769264.0,311429.0,1.0
x[8],0.1,0.03,0.047,0.157,0.0,0.0,747738.0,314972.0,1.0
x[9],0.1,0.03,0.046,0.156,0.0,0.0,752074.0,318222.0,1.0
log_det_jacobian,-14.578,0.345,-15.227,-13.972,0.0,0.0,538882.0,330452.0,1.0
