,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
y[0],6.373,12.011,-14.434,32.369,0.026,0.027,277347.0,159311.0,1.0
y[1],6.194,12.086,-15.15,32.187,0.026,0.026,279671.0,160933.0,1.0
y[2],5.993,12.165,-15.857,31.964,0.026,0.026,284159.0,166091.0,1.0
y[3],5.797,12.347,-16.793,32.161,0.026,0.027,282544.0,164696.0,1.0
y[4],5.48,12.556,-17.723,32.156,0.026,0.028,287363.0,172978.0,1.0
y[5],5.007,12.81,-19.611,31.632,0.026,0.027,291299.0,173777.0,1.0
y[6],4.241,13.158,-21.525,31.118,0.026,0.028,299052.0,178170.0,1.0
y[7],2.879,13.744,-24.088,30.928,0.027,0.029,314202.0,185850.0,1.0
y[8],-0.028,14.302,-28.266,28.649,0.027,0.031,323588.0,191301.0,1.0
x[0],0.1,0.213,0.0,0.595,0.0,0.0,277347.0,159303.0,1.0
x[1],0.101,0.213,0.0,0.598,0.0,0.0,279914.0,160883.0,1.0
x[2],0.1,0.212,0.0,0.592,0.0,0.0,283569.0,166109.0,1.0
x[3],0.1,0.213,0.0,0.593,0.0,0.0,281601.0,164637.0,1.0
x[4],0.1,0.212,0.0,0.596,0.0,0.0,281547.0,172977.0,1.0
x[5],0.099,0.211,0.0,0.59,0.0,0.0,280408.0,174508.0,1.0
x[6],0.1,0.212,0.0,0.593,0.0,0.0,276361.0,187157.0,1.0
x[7],0.1,0.212,0.0,0.593,0.0,0.0,262663.0,189180.0,1.0
x[8],0.101,0.213,0.0,0.596,0.0,0.0,223722.0,201260.0,1.0
x[9],0.1,0.212,0.0,0.594,0.0,0.0,221112.0,198205.0,1.0
log_det_jacobian,-100.848,29.112,-155.173,-49.989,0.089,0.063,108129.0,173489.0,1.0
