,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
x[0],0.1,0.09,0.0,0.268,0.0,0.0,490972.0,225106.0,1.0
x[1],0.1,0.091,0.0,0.269,0.0,0.0,486868.0,222105.0,1.0
x[2],0.1,0.09,0.0,0.269,0.0,0.0,481190.0,224538.0,1.0
x[3],0.1,0.09,0.0,0.269,0.0,0.0,497390.0,224132.0,1.0
x[4],0.1,0.091,0.0,0.269,0.0,0.0,499172.0,224399.0,1.0
x[5],0.1,0.091,0.0,0.269,0.0,0.0,497207.0,230220.0,1.0
x[6],0.1,0.09,0.0,0.268,0.0,0.0,494560.0,235864.0,1.0
x[7],0.1,0.091,0.0,0.269,0.0,0.0,508977.0,253861.0,1.0
x[8],0.1,0.09,0.0,0.268,0.0,0.0,537686.0,299782.0,1.0
x[9],0.1,0.091,0.0,0.269,0.0,0.0,542967.0,293564.0,1.0
