,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
y[0],3.939,1.684,1.185,7.203,0.022,0.016,6367.0,10746.0,1.05
y[1],3.924,1.671,1.124,7.11,0.02,0.015,6962.0,10396.0,1.05
y[2],3.924,1.681,1.126,7.142,0.024,0.018,5238.0,8933.0,1.05
y[3],3.93,1.664,1.177,7.157,0.021,0.015,6999.0,13396.0,1.04
y[4],3.966,1.699,1.13,7.226,0.021,0.015,7485.0,10481.0,1.04
y[5],3.915,1.681,1.112,7.153,0.021,0.015,7003.0,12925.0,1.04
y[6],3.939,1.697,1.122,7.221,0.022,0.016,6550.0,12156.0,1.05
y[7],3.916,1.686,1.103,7.14,0.021,0.015,7186.0,12605.0,1.04
y[8],3.975,1.7,1.109,7.221,0.022,0.016,6373.0,11090.0,1.05
y[9],3.946,1.693,1.107,7.194,0.022,0.016,6086.0,11234.0,1.05
y[10],3.891,1.683,1.044,7.113,0.02,0.015,7627.0,10177.0,1.04
y[11],3.918,1.693,1.111,7.185,0.024,0.017,5570.0,9346.0,1.05
y[12],3.923,1.699,1.094,7.176,0.023,0.016,5838.0,11064.0,1.05
y[13],3.896,1.686,1.074,7.115,0.023,0.016,5854.0,11436.0,1.05
y[14],3.921,1.69,1.065,7.154,0.019,0.014,8247.0,15380.0,1.04
y[15],3.887,1.689,1.041,7.11,0.023,0.016,5686.0,10187.0,1.05
y[16],3.892,1.695,1.077,7.161,0.02,0.015,7702.0,11477.0,1.04
y[17],3.896,1.699,1.026,7.126,0.023,0.016,6019.0,10365.0,1.05
y[18],3.904,1.706,1.061,7.203,0.021,0.015,6823.0,12105.0,1.04
y[19],3.891,1.717,1.033,7.188,0.022,0.016,6507.0,13600.0,1.05
y[20],3.897,1.728,1.057,7.291,0.022,0.016,6483.0,14860.0,1.05
y[21],3.93,1.715,1.051,7.21,0.023,0.016,5787.0,10780.0,1.05
y[22],3.949,1.737,1.053,7.269,0.024,0.017,5572.0,9835.0,1.05
y[23],3.852,1.705,1.006,7.143,0.02,0.014,7515.0,16053.0,1.04
y[24],3.885,1.721,1.073,7.231,0.022,0.016,6303.0,12649.0,1.05
y[25],3.873,1.716,1.022,7.193,0.022,0.016,6425.0,10437.0,1.05
y[26],3.826,1.702,0.951,7.079,0.023,0.017,5912.0,10390.0,1.05
y[27],3.866,1.722,0.974,7.175,0.023,0.017,6074.0,9324.0,1.05
y[28],3.876,1.721,0.999,7.19,0.024,0.017,5588.0,10312.0,1.05
y[29],3.874,1.733,1.003,7.254,0.024,0.017,5566.0,9950.0,1.05
