'target_keyword', 'transform', 'seed', 'time'
dirsym_e-1_10dims,StanStickbreaking,3,5.087027549743652
dirsym_1_100dims,HypersphericalProbit,2,4.602872133255005
dirsym_1_10dims,StanStickbreaking,3,4.835403919219971
dirsym_1_100dims,AugmentedSoftmax,4,2.7743008136749268
dirsym_e-1_100dims,ALR,0,13.291224479675293
dirsym_e-1_100dims,AugmentedSoftmax,0,13.690949440002441
dirsym_1_10dims,ALR,2,4.885141611099243
dirsym_1_10dims,AugmentedSoftmax,2,4.911470174789429
dirsym_e-1_10dims,HypersphericalLogit,2,5.37122106552124
dirsym_1_10dims,HypersphericalProbit,2,5.018168926239014
dirsym_1_10dims,HypersphericalAngular,2,5.108958005905151
dirsym_e-1_10dims,HypersphericalAngular,2,5.350114107131958
dirsym_1_10dims,NormalizedExponential,2,5.006118297576904
dirsym_e-1_10dims,AugmentedSoftmax,2,5.317631483078003
dirsym_e-1_10dims,AugmentedILR,2,5.302005052566528
dirsym_1_100dims,ALR,1,7.454952716827393
dirsym_1_10dims,AugmentedILR,2,5.005249500274658
dirsym_e-1_10dims,Stickbreaking,2,5.281770467758179
dirsym_e-1_10dims,NormalizedExponential,2,5.507301330566406
dirsym_e-1_10dims,ProbitProduct,4,5.1507768630981445
dirsym_1_100dims,StanStickbreaking,1,8.861151695251465
dirsym_1_10dims,Stickbreaking,2,5.0672221183776855
dirsym_1_100dims,AugmentedSoftmax,5,2.8636891841888428
dirsym_e-1_100dims,StanStickbreaking,0,18.233887195587158
dirsym_1_10dims,ProbitProduct,3,4.933193922042847
dirsym_1_100dims,ProbitProduct,4,3.513598680496216
dirsym_e-1_10dims,HypersphericalProbit,3,5.089991807937622
dirsym_1_10dims,HypersphericalLogit,3,5.080493927001953
dirsym_e-1_10dims,ALR,3,5.313707113265991
dirsym_e-1_100dims,HypersphericalLogit,0,17.41216230392456
dirsym_e-1_100dims,AugmentedILR,0,17.53279447555542
dirsym_1_100dims,HypersphericalProbit,3,4.813848257064819
dirsym_e-1_10dims,StanStickbreaking,4,5.196394205093384
dirsym_1_10dims,StanStickbreaking,4,4.8717265129089355
dirsym_1_10dims,ALR,3,4.877269506454468
dirsym_1_10dims,AugmentedSoftmax,3,4.965523958206177
dirsym_1_10dims,HypersphericalProbit,3,4.946208238601685
dirsym_1_10dims,HypersphericalAngular,3,4.9598424434661865
dirsym_e-1_10dims,HypersphericalLogit,3,5.360409498214722
dirsym_1_100dims,AugmentedSoftmax,6,2.959404945373535
dirsym_e-1_100dims,Stickbreaking,0,18.96414613723755
dirsym_1_10dims,NormalizedExponential,3,5.158015489578247
dirsym_1_100dims,AugmentedILR,1,9.563446998596191
dirsym_e-1_10dims,HypersphericalAngular,3,5.31749963760376
dirsym_1_100dims,NormalizedExponential,1,10.174295663833618
dirsym_1_100dims,ProbitProduct,5,3.7340586185455322
dirsym_e-1_10dims,AugmentedSoftmax,3,5.374927043914795
dirsym_e-1_10dims,AugmentedILR,3,5.434682369232178
dirsym_1_10dims,AugmentedILR,3,5.076237916946411
dirsym_1_100dims,HypersphericalLogit,1,10.641229629516602
dirsym_e-1_100dims,ProbitProduct,1,11.34141755104065
dirsym_e-1_10dims,Stickbreaking,3,5.375547409057617
dirsym_e-1_10dims,ProbitProduct,5,5.142106056213379
dirsym_e-1_10dims,NormalizedExponential,3,5.665099143981934
dirsym_1_10dims,Stickbreaking,3,5.038382530212402
dirsym_1_10dims,ProbitProduct,4,4.893654823303223
dirsym_e-1_100dims,HypersphericalProbit,1,11.23398756980896
dirsym_e-1_10dims,HypersphericalProbit,4,5.031251907348633
dirsym_1_10dims,HypersphericalLogit,4,4.974346160888672
dirsym_e-1_10dims,ALR,4,5.145166397094727
dirsym_1_100dims,AugmentedSoftmax,7,2.910959482192993
dirsym_1_100dims,Stickbreaking,1,10.398598432540894
dirsym_1_100dims,ALR,2,7.7032856941223145
dirsym_1_100dims,HypersphericalAngular,1,11.600903749465942
dirsym_1_100dims,HypersphericalProbit,4,5.036297798156738
dirsym_1_10dims,StanStickbreaking,5,4.9487199783325195
dirsym_e-1_10dims,StanStickbreaking,5,5.1091225147247314
dirsym_1_10dims,ALR,4,4.888896226882935
dirsym_1_10dims,AugmentedSoftmax,4,4.895789384841919
dirsym_1_10dims,HypersphericalProbit,4,5.076930046081543
dirsym_1_100dims,ProbitProduct,6,3.6513571739196777
dirsym_1_10dims,HypersphericalAngular,4,5.061138391494751
dirsym_e-1_100dims,NormalizedExponential,1,12.697853565216064
dirsym_e-1_10dims,HypersphericalLogit,4,5.4342851638793945
dirsym_1_10dims,NormalizedExponential,4,5.097568511962891
dirsym_1_100dims,AugmentedSoftmax,8,2.813375234603882
dirsym_e-1_10dims,HypersphericalAngular,4,5.269007205963135
dirsym_1_100dims,StanStickbreaking,2,8.93813180923462
dirsym_1_10dims,AugmentedILR,4,5.004421234130859
dirsym_e-1_10dims,AugmentedSoftmax,4,5.344494342803955
dirsym_e-1_100dims,HypersphericalAngular,0,26.604708909988403
dirsym_e-1_10dims,AugmentedILR,4,5.329590559005737
dirsym_1_10dims,ProbitProduct,5,4.881182670593262
dirsym_e-1_10dims,ProbitProduct,6,5.142923831939697
dirsym_e-1_10dims,Stickbreaking,4,5.3484838008880615
dirsym_1_10dims,Stickbreaking,4,5.048662900924683
dirsym_e-1_10dims,NormalizedExponential,4,5.448138475418091
dirsym_e-1_10dims,HypersphericalProbit,5,5.140480041503906
dirsym_1_10dims,HypersphericalLogit,5,4.993215799331665
dirsym_e-1_100dims,ALR,1,13.545620918273926
dirsym_e-1_10dims,ALR,5,5.1881773471832275
dirsym_1_100dims,ProbitProduct,7,3.6123995780944824
dirsym_e-1_100dims,AugmentedSoftmax,1,14.004531860351562
dirsym_1_100dims,HypersphericalProbit,5,4.6861302852630615
dirsym_1_100dims,AugmentedSoftmax,9,2.8045310974121094
dirsym_1_10dims,StanStickbreaking,6,4.923925876617432
dirsym_1_10dims,ALR,5,4.911159038543701
dirsym_1_10dims,AugmentedSoftmax,5,4.8386218547821045
dirsym_e-1_10dims,StanStickbreaking,6,5.086716890335083
dirsym_1_10dims,HypersphericalProbit,5,4.986209392547607
dirsym_1_10dims,HypersphericalAngular,5,4.98382568359375
dirsym_1_100dims,AugmentedILR,2,9.3813796043396
dirsym_1_10dims,NormalizedExponential,5,4.952199697494507
dirsym_1_100dims,NormalizedExponential,2,9.913060188293457
dirsym_e-1_10dims,HypersphericalLogit,5,5.330973386764526
dirsym_e-1_10dims,HypersphericalAngular,5,5.203702211380005
dirsym_1_10dims,AugmentedILR,5,4.923428058624268
dirsym_1_100dims,ALR,3,7.758050441741943
dirsym_1_100dims,AugmentedSoftmax,10,2.91961669921875
dirsym_e-1_10dims,AugmentedSoftmax,5,5.251660585403442
dirsym_1_10dims,ProbitProduct,6,4.77704381942749
dirsym_e-1_10dims,AugmentedILR,5,5.2454869747161865
dirsym_1_100dims,HypersphericalLogit,2,10.385661840438843
dirsym_e-1_10dims,ProbitProduct,7,5.0383994579315186
dirsym_1_10dims,Stickbreaking,5,4.931004047393799
dirsym_1_100dims,ProbitProduct,8,3.7515320777893066
dirsym_e-1_10dims,Stickbreaking,5,5.248732805252075
dirsym_e-1_10dims,HypersphericalProbit,6,4.8789331912994385
dirsym_1_10dims,HypersphericalLogit,6,4.881088495254517
dirsym_e-1_10dims,NormalizedExponential,5,5.436101675033569
dirsym_1_100dims,HypersphericalProbit,6,4.660684108734131
dirsym_e-1_10dims,ALR,6,5.240296125411987
dirsym_e-1_100dims,ProbitProduct,2,11.747730016708374
dirsym_e-1_100dims,HypersphericalProbit,2,11.266023874282837
dirsym_1_100dims,Stickbreaking,2,10.65161395072937
dirsym_1_10dims,StanStickbreaking,7,4.904008865356445
dirsym_1_10dims,ALR,6,4.956758975982666
dirsym_1_10dims,AugmentedSoftmax,6,5.017801523208618
dirsym_1_100dims,AugmentedSoftmax,11,2.815361261367798
dirsym_e-1_10dims,StanStickbreaking,7,5.164083957672119
dirsym_1_10dims,HypersphericalProbit,6,4.980539321899414
dirsym_1_100dims,StanStickbreaking,3,8.96872353553772
dirsym_1_10dims,HypersphericalAngular,6,5.104811429977417
